model,forecast_date,target,target_week_end,national_raw_error,national_log_difference,national_percentage_error,national_bre,cc_national_score,cc_national_rank,cc_national_rank_percentile,state_point_forecasts_num,state_log_difference_squared,state_pearson_fit_statistic,state_mean_absolute_error,state_geo_mean_log_difference,state_median_log_difference,state_bre,state_bre_signed,state_pred_25,state_missed_by_2x,state_rmse,state_mape,state_smape,cc_state_point_score,cc_state_point_rank,cc_state_point_rank_percentile,state_range_forecasts_num,state_range_capture_rate_95pi,state_range_capture_rate_50pi,state_range_10th_percentile_width,state_range_25th_percentile_width,state_range_50th_percentile_width,state_range_average_width,state_range_75th_percentile_width,state_range_90th_percentile_width,state_ranges_gt_4x,state_ranges_gt_10x,state_ranges_95PI_score,state_ranges_interval_normalized,state_ranges_precision_raw,state_ranges_precision_95pi_adjusted,cc_state_range_score,cc_state_range_rank,cc_state_range_rank_percentile,cc_state_range_score_v2,cc_state_range_rank_v2,cc_state_range_rank_percentile_v2,state_ranges_50PI_score,state_ranges_synthetic_wis,state_ranges_synthetic_wis_sharpness,state_ranges_synthetic_wis_penalty,state_ranges_synthetic_wis_rank_percentile,state_mean_absolute_error_rank_percentile,state_log_difference_squared_rank_percentile,state_pearson_rank_percentile,state_log_difference_geo_mean_rank_percentile,state_rmse_rank_percentile,state_mape_rank_percentile,state_smape_rank_percentile,state_bre_rank_percentile,state_pred25_rank_percentile
JHU-IDD,3/29/2021,2 wk ahead inc death,4/10/2021,-853,-0.081,-7.80%,-8.46%,90%,10,75.68%,48,13.22,1425.33,62.31,32.10%,10.96%,61.49%,23.05%,29.17%,14.58%,113.87,54.71%,40.16%,18.92%,24,76.47%,48,97.92%,0.479,2.915,3.49,5.655,16.839,10.428,22.91,62.50%,25.00%,16619,159.6,22.66%,47.31%,35.10%,14,61.76%,57.23%,21,41.18%,9260,38.44,16.36,22.08,76.47%,67.65%,52.94%,70.59%,20.59%,70.59%,20.59%,35.29%,44.12%,23.53%
Karlen,3/29/2021,2 wk ahead inc death,4/10/2021,45,0.004,0.41%,0.41%,100%,1,100.00%,51,9.38,1515.47,62.27,20.50%,9.05%,44.79%,14.57%,43.14%,11.77%,145.72,38.72%,31.57%,54.02%,8,52.94%,51,88.24%,0.627,2.226,2.998,4.264,9.217,6.339,18,47.06%,19.61%,46321,140,30.16%,62.96%,43.30%,10,73.53%,79.16%,8,79.41%,10718,52.08,15.43,36.65,52.94%,70.59%,79.41%,67.65%,88.24%,50.00%,61.77%,73.53%,82.35%,73.53%
LANL,3/29/2021,2 wk ahead inc death,4/10/2021,-338,-0.031,-3.09%,-3.19%,100%,4,91.89%,51,13.43,1400.97,53.65,26.70%,0.00%,57.47%,-13.85%,47.06%,13.73%,91.07,36.36%,35.68%,49.12%,11,85.29%,51,96.08%,0.471,3.036,3.997,6.905,31.677,12.781,21.267,66.67%,33.33%,23156,129.6,20.09%,41.94%,31.00%,20,44.12%,66.29%,13,64.71%,8754,36.97,13.89,23.07,85.29%,73.53%,50.00%,73.53%,52.94%,76.47%,73.53%,58.82%,52.94%,79.41%
LNQ,3/29/2021,2 wk ahead inc death,4/10/2021,1335,0.115,12.21%,12.21%,75%,16,59.46%,51,16.32,1060.08,47.61,24.42%,-10.54%,66.01%,-43.02%,49.02%,15.69%,87.4,32.40%,37.81%,43.18%,13,64.71%,51,100.00%,0.784,14.527,24.33,105,178.085,210.25,406,100.00%,96.08%,31687,233.1,2.40%,5.01%,0.00%,33,5.88%,9.77%,29,17.65%,10155,42.62,31.11,11.51,64.71%,91.18%,44.12%,82.35%,61.77%,82.35%,91.18%,50.00%,41.18%,91.18%
LSHTM,3/29/2021,2 wk ahead inc death,4/10/2021,2174,0.181,19.89%,19.89%,75%,23,40.54%,51,12.68,1984.16,63.25,25.70%,12.92%,54.47%,13.02%,43.14%,13.73%,119.12,43.28%,35.87%,39.43%,15,67.65%,51,88.24%,0.49,2.544,3.242,5,8.863,9.258,15.2,47.06%,17.65%,22637,145.1,28.12%,58.70%,43.30%,10,73.53%,75.83%,9,76.47%,10424,41.91,18.72,23.18,67.65%,64.71%,55.88%,50.00%,58.82%,67.65%,47.06%,55.88%,55.88%,73.53%
Microsoft,3/29/2021,2 wk ahead inc death,4/10/2021,647,0.057,5.92%,5.92%,90%,6,86.49%,51,8.04,1002.22,41.86,20.59%,14.82%,40.48%,14.56%,49.02%,5.88%,73.15,34.82%,29.13%,59.79%,6,91.18%,51,82.35%,0.373,1.622,1.934,2.333,3.078,2.871,3.6,5.88%,3.92%,22698,175.5,54.63%,100.00%,80.50%,2,97.06%,86.69%,5,88.24%,6937,30.97,9.35,21.62,91.18%,100.00%,91.18%,88.24%,85.29%,97.06%,79.41%,94.12%,94.12%,91.18%
MIT-CovAlliance,3/29/2021,2 wk ahead inc death,4/10/2021,3516,0.279,32.16%,32.16%,0%,28,27.03%,51,20.15,3815.65,88.84,29.18%,34.27%,58.18%,39.57%,25.49%,21.57%,143.17,56.06%,43.57%,6.47%,30,32.35%,51,96.08%,0.51,9.717,9.761,9.939,10.433,10.618,11.857,96.08%,25.49%,36141,224.9,17.97%,37.52%,0.00%,33,5.88%,60.96%,16,55.88%,13405,57.91,35.04,22.86,32.35%,23.53%,32.35%,26.47%,32.35%,52.94%,17.65%,23.53%,50.00%,11.77%
MIT-ISOLAT,3/29/2021,2 wk ahead inc death,4/10/2021,-1979,-0.2,-18.10%,-22.10%,75%,25,35.14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-LCP,3/29/2021,2 wk ahead inc death,4/10/2021,3580,0.283,32.75%,32.75%,0%,29,24.32%,51,79.92,28258.94,104.27,34.22%,40.12%,149.12%,139.65%,23.53%,29.41%,241.23,148.59%,56.29%,2.44%,33,0.00%,51,1.96%,0.02,1.011,1.013,1.015,1.007,1.024,1.059,0.00%,0.00%,209756,2994.4,98.68%,100.00%,2.10%,32,8.82%,2.06%,32,8.82%,21286,148.57,0.38,148.19,0.00%,8.82%,0.00%,2.94%,8.82%,5.88%,0.00%,0.00%,0.00%,5.88%
MIT-ORC,3/29/2021,2 wk ahead inc death,4/10/2021,1306,0.113,11.95%,11.95%,75%,15,62.16%,51,10.49,2795.19,68.31,21.69%,4.46%,45.89%,-2.79%,56.86%,9.80%,158.67,32.60%,29.29%,51.96%,9,55.88%,51,98.04%,0.706,3.139,5.512,12,169.635,46.786,254,76.47%,54.90%,26054,134.7,8.81%,18.39%,22.70%,24,32.35%,33.39%,23,35.29%,11785,47.08,23.54,23.54,55.88%,52.94%,70.59%,35.29%,73.53%,32.35%,88.24%,91.18%,76.47%,97.06%
MOBS,3/29/2021,2 wk ahead inc death,4/10/2021,1270,0.11,11.62%,11.62%,75%,13,67.57%,50,8.77,1750.18,71.06,25.82%,1.71%,46.30%,1.45%,36.00%,8.00%,153.22,37.81%,34.69%,47.41%,12,58.82%,50,84.00%,0.52,1.829,2.215,5.272,123.882,53,289,50.00%,40.00%,26688,123.4,12.94%,27.01%,35.10%,14,61.76%,30.14%,26,26.47%,10492,45.58,15.76,29.83,58.82%,47.06%,85.29%,61.77%,55.88%,41.18%,64.71%,61.77%,73.53%,47.06%
Oliver Wyman,3/29/2021,2 wk ahead inc death,4/10/2021,2323,0.193,21.25%,21.25%,75%,24,37.84%,51,27.11,2724.56,82.02,28.88%,7.57%,147.37%,-77.31%,31.37%,17.65%,178.46,48.72%,41.70%,21.27%,21,29.41%,51,80.39%,0.431,2.1,2.635,4.75,89.234,37.9,190,47.06%,35.29%,38344,241.3,15.12%,31.56%,35.10%,14,61.76%,37.79%,22,38.24%,13730,58.48,16.7,41.78,29.41%,32.35%,8.82%,41.18%,35.29%,26.47%,26.47%,26.47%,2.94%,32.35%
PSI,3/29/2021,2 wk ahead inc death,4/10/2021,-747,-0.071,-6.83%,-7.33%,90%,8,81.08%,51,25.39,4249.11,113.78,37.06%,-39.71%,94.28%,-61.77%,25.49%,29.41%,220.13,47.35%,53.03%,2.76%,32,2.94%,51,43.14%,0.157,1.426,1.582,1.961,3.667,2.851,5.8,11.77%,5.88%,173394,523.9,54.80%,100.00%,33.00%,19,47.06%,45.41%,20,44.12%,22114,137,4.33,132.66,2.94%,2.94%,11.77%,23.53%,5.88%,8.82%,32.35%,5.88%,14.71%,11.77%
RPI-UW,3/29/2021,2 wk ahead inc death,4/10/2021,-4909,-0.596,-44.90%,-81.49%,0%,38,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SignatureScience,3/29/2021,2 wk ahead inc death,4/10/2021,6365,0.459,58.22%,58.22%,0%,37,2.70%,51,23.72,7458.62,136.65,43.60%,54.04%,91.51%,82.22%,17.65%,33.33%,245.86,90.07%,54.02%,1.48%,34,8.82%,51,100.00%,0.569,22.1,81.643,370,1203.936,1319,2754,96.08%,94.12%,39091,229.2,0.67%,1.40%,4.10%,31,11.76%,2.78%,31,11.76%,20858,82.86,51.61,31.24,8.82%,0.00%,17.65%,5.88%,0.00%,2.94%,2.94%,2.94%,23.53%,0.00%
UA,3/29/2021,2 wk ahead inc death,4/10/2021,1727,0.147,15.80%,15.80%,75%,19,51.35%,51,24.65,2397.43,72.24,34.02%,15.42%,93.10%,30.84%,27.45%,19.61%,129.58,72.35%,46.20%,14.89%,26,41.18%,51,88.24%,0.549,3.363,4.906,7.357,8.912,11.767,16.242,68.63%,25.49%,35504,246.5,23.16%,48.35%,20.60%,25,29.41%,66.20%,14,61.76%,14416,57.34,25.74,31.6,41.18%,41.18%,14.71%,44.12%,11.77%,58.82%,11.77%,20.59%,17.65%,17.65%
UCM,3/29/2021,2 wk ahead inc death,4/10/2021,774,0.068,7.08%,7.08%,90%,7,83.78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCSD-NEU,3/29/2021,2 wk ahead inc death,4/10/2021,986,0.086,9.02%,9.02%,90%,11,72.97%,50,16.2,1771.53,72.02,30.51%,-15.42%,49.95%,-15.99%,32.00%,10.00%,153.86,37.37%,40.18%,23.86%,18,14.71%,50,98.00%,0.9,5.633,876.5,1114,919.277,1239.5,1374.2,90.00%,84.00%,55096,784.4,0.50%,1.04%,8.30%,29,17.65%,-2.93%,33,5.88%,17251,72.77,43.14,29.64,14.71%,44.12%,47.06%,55.88%,26.47%,38.24%,67.65%,32.35%,64.71%,35.29%
UGA-CEID,3/29/2021,2 wk ahead inc death,4/10/2021,2056,0.172,18.81%,18.81%,75%,21,45.95%,51,20.27,3006.17,87.16,30.16%,20.82%,95.04%,-28.35%,31.37%,15.69%,207.92,44.91%,39.87%,12.17%,27,26.47%,51,96.08%,0.647,3.196,10.867,114,592.309,373,1034,82.35%,72.55%,35402,194.6,2.27%,4.74%,14.40%,27,23.53%,9.26%,30,14.71%,14334,59.4,33.5,25.9,26.47%,26.47%,29.41%,32.35%,29.41%,14.71%,38.24%,41.18%,11.77%,32.35%
UM,3/29/2021,2 wk ahead inc death,4/10/2021,4018,0.313,36.75%,36.75%,0%,32,16.22%,49,20.98,4830.41,105.9,33.08%,38.91%,85.36%,83.62%,28.57%,32.65%,176.54,85.24%,47.80%,0.00%,35,23.53%,49,95.92%,0.694,2.831,8.5,79.75,341.468,366,889.6,79.59%,69.39%,28396,226.8,2.94%,6.14%,16.50%,26,26.47%,1.90%,33,5.88%,14142,60.72,27.79,32.93,23.53%,5.88%,26.47%,11.77%,14.71%,29.41%,8.82%,17.65%,29.41%,20.59%
UMass-MB,3/29/2021,2 wk ahead inc death,4/10/2021,2543,0.209,23.26%,23.26%,75%,26,32.43%,51,7.38,1052,48.47,18.56%,10.11%,38.14%,17.41%,49.02%,7.84%,80.73,34.77%,28.00%,63.78%,2,88.24%,51,94.12%,0.569,2.601,3.229,4.183,6.701,6.471,9.649,41.18%,9.80%,15793,105.6,33.14%,69.20%,55.70%,6,85.29%,89.58%,4,91.18%,7867,31.21,17.5,13.71,88.24%,88.24%,97.06%,85.29%,97.06%,91.18%,82.35%,97.06%,97.06%,91.18%
UpstateSU,3/29/2021,2 wk ahead inc death,4/10/2021,4464,0.342,40.83%,40.83%,0%,34,10.81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC,3/29/2021,2 wk ahead inc death,4/10/2021,1278,0.111,11.69%,11.69%,75%,14,64.87%,51,9.42,1649.77,63.82,21.56%,11.17%,44.89%,8.46%,50.98%,5.88%,123.22,36.52%,31.55%,55.17%,7,61.77%,51,80.39%,0.49,1.735,1.898,2.25,3.984,2.778,7.7,13.73%,7.84%,30614,173,50.89%,100.00%,70.20%,3,94.12%,84.62%,6,85.29%,10321,45.02,14.27,30.75,61.76%,61.77%,76.47%,64.71%,76.47%,64.71%,70.59%,76.47%,79.41%,94.12%
Baseline,3/29/2021,3 wk ahead inc death,4/17/2021,5016,0.275,31.68%,31.68%,0%,26,32.43%,51,12.91,7695.74,136.16,23.19%,18.79%,57.02%,15.32%,35.29%,5.88%,319.47,44.10%,34.91%,34.03%,16,32.35%,51,94.12%,0.451,3.917,3.971,3.992,3.947,4,4,0.00%,0.00%,63123,180.7,40.45%,84.44%,99.10%,1,100.00%,96.65%,1,100.00%,21816,94.71,35.9,58.81,32.35%,26.47%,58.82%,20.59%,76.47%,17.65%,50.00%,67.65%,55.88%,47.06%
BPagano,3/29/2021,3 wk ahead inc death,4/17/2021,8779,0.441,55.44%,55.44%,0%,35,8.11%,51,11.23,8724.55,173.75,30.07%,27.98%,52.72%,44.65%,29.41%,11.77%,367.43,51.39%,37.03%,21.03%,21,14.71%,51,84.31%,0.373,1.868,2.959,4.998,5.197,5.666,8.75,50.98%,7.84%,78325,150.1,37.05%,77.34%,35.10%,12,67.65%,83.62%,7,82.35%,29177,122.9,23.99,98.91,14.71%,8.82%,61.77%,11.77%,35.29%,5.88%,23.53%,55.88%,67.65%,29.41%
CMU,3/29/2021,3 wk ahead inc death,4/17/2021,NA,NA,NA,NA,NA,NA,NA,51,7.72,1581.48,75.82,20.30%,-4.58%,39.69%,-11.29%,47.06%,5.88%,159.74,28.43%,29.31%,66.78%,2,82.35%,51,96.08%,0.608,3.19,4.391,7.343,41.256,27.944,176,74.51%,47.06%,35854,150.5,13.59%,28.37%,22.70%,21,41.18%,48.68%,19,47.06%,14251,57.67,24.31,33.35,82.35%,88.24%,91.18%,91.18%,91.18%,70.59%,97.06%,88.24%,91.18%,91.18%
Columbia,3/29/2021,3 wk ahead inc death,4/17/2021,3935,0.222,24.85%,24.85%,75%,23,40.54%,51,54.78,3937.17,112.06,32.05%,12.28%,87.08%,-20.51%,37.26%,29.41%,244.32,49.27%,48.86%,19.30%,22,44.12%,51,82.35%,0.686,1.917,2.073,2.813,34.35,13.278,150,31.37%,27.45%,68026,208.6,23.31%,48.67%,53.70%,7,82.35%,60.34%,13,64.71%,19869,88.74,21.88,66.85,44.12%,44.12%,2.94%,50.00%,26.47%,32.35%,29.41%,17.65%,32.35%,61.77%
Columbia-UNC,3/29/2021,3 wk ahead inc death,4/17/2021,9416,0.467,59.47%,59.47%,0%,36,5.41%,51,50.32,9725,168.47,33.33%,23.02%,101.14%,8.46%,31.37%,29.41%,313.69,67.17%,51.46%,4.72%,30,17.65%,51,98.04%,0.725,7.69,15.503,63.143,700.006,347.5,1252,92.16%,80.39%,62761,250.9,2.33%,4.86%,6.20%,28,20.59%,9.48%,28,20.59%,26978,110.89,62.65,48.23,17.65%,14.71%,5.88%,8.82%,14.71%,20.59%,11.77%,14.71%,20.59%,32.35%
Covid19Sim,3/29/2021,3 wk ahead inc death,4/17/2021,2434,0.143,15.37%,15.37%,75%,14,64.87%,51,17.78,8224.72,144,26.58%,-13.35%,72.24%,-22.27%,37.26%,13.73%,311.4,43.33%,39.49%,25.48%,20,5.88%,51,21.57%,0.137,1.119,1.149,1.207,1.385,1.457,1.857,0.00%,0.00%,239741,657.9,85.07%,100.00%,22.70%,21,41.18%,22.70%,24,32.35%,28575,182.97,2.57,180.4,5.88%,23.53%,44.12%,17.65%,47.06%,23.53%,55.88%,38.24%,38.24%,61.77%
CovidComplete,3/29/2021,3 wk ahead inc death,4/17/2021,2602,0.152,16.43%,16.43%,75%,17,56.76%,51,22.34,2613.05,97.1,23.81%,26.42%,117.74%,-41.95%,39.22%,17.65%,159.68,43.67%,35.87%,28.44%,17,55.88%,51,88.24%,0.333,2.448,2.822,3.107,3.84,4.528,6.091,27.45%,0.00%,48462,201.6,43.16%,90.11%,64.00%,4,91.18%,91.90%,2,97.06%,17674,73.62,24.72,48.9,55.88%,70.59%,35.29%,73.53%,73.53%,73.53%,52.94%,61.77%,8.82%,67.65%
DDS,3/29/2021,3 wk ahead inc death,4/17/2021,-361,-0.023,-2.28%,-2.33%,100%,2,97.30%,51,24.87,4180.61,126.37,32.29%,-18.29%,105.73%,-61.84%,27.45%,21.57%,237.87,44.96%,45.77%,12.94%,27,47.06%,51,84.31%,0.412,3.46,4.318,6.941,18.318,13.219,58.2,64.71%,25.49%,56447,206.2,19.04%,39.75%,20.60%,23,35.29%,52.46%,18,50.00%,19891,86.24,27.43,58.81,47.06%,38.24%,20.59%,47.06%,23.53%,35.29%,44.12%,23.53%,14.71%,20.59%
Ensemble,3/29/2021,3 wk ahead inc death,4/17/2021,2810,0.163,17.75%,17.75%,75%,19,51.35%,51,5.38,1327.52,64.75,17.41%,4.88%,30.89%,5.31%,58.82%,1.96%,132.42,26.10%,23.85%,76.79%,1,100.00%,51,98.04%,0.784,3.29,4.487,6.78,15.437,10.958,30.333,72.55%,23.53%,23985,110.9,21.03%,43.90%,26.80%,18,50.00%,68.53%,9,76.47%,11532,45.13,27.96,17.16,100.00%,97.06%,100.00%,100.00%,100.00%,91.18%,100.00%,100.00%,100.00%,100.00%
ESG,3/29/2021,3 wk ahead inc death,4/17/2021,-645,-0.042,-4.07%,-4.25%,100%,4,91.89%,51,13.58,1484.32,72.53,24.40%,-6.03%,58.26%,-28.78%,43.14%,11.77%,123.01,32.78%,35.15%,53.25%,6,91.18%,51,92.16%,0.608,2.391,3.659,22.44,156.261,122,486,64.71%,56.86%,26846,118.1,6.46%,13.48%,28.90%,17,52.94%,22.16%,25,29.41%,12301,49.18,26.84,22.34,91.18%,94.12%,55.88%,94.12%,64.71%,94.12%,85.29%,64.71%,52.94%,76.47%
GT-DeepCOVID,3/29/2021,3 wk ahead inc death,4/17/2021,6516,0.345,41.15%,41.15%,0%,32,16.22%,46,10.61,3068.7,106.2,24.74%,29.90%,53.88%,38.07%,34.78%,15.22%,215.09,51.39%,37.66%,12.02%,28,73.53%,46,95.65%,0.543,4.441,7.629,16.926,188.489,125.125,623,89.13%,65.22%,30453,139,5.61%,11.70%,6.20%,28,20.59%,-2.97%,33,5.88%,14800,66.21,39.95,26.27,73.53%,52.94%,67.65%,58.82%,55.88%,52.94%,26.47%,50.00%,61.77%,41.18%
IEM,3/29/2021,3 wk ahead inc death,4/17/2021,-5250,-0.403,-33.16%,-49.60%,0%,34,10.81%,51,25.21,5447.55,132.96,47.28%,-50.93%,95.72%,-70.46%,17.65%,33.33%,217.17,48.32%,56.34%,4.45%,31,38.24%,51,98.04%,0.549,20.632,33.518,65.5,155.897,251.5,424,98.04%,94.12%,61975,315.8,2.49%,5.20%,0.00%,33,5.88%,10.12%,27,23.53%,21532,93.13,64.16,28.97,38.24%,29.41%,14.71%,32.35%,0.00%,50.00%,38.24%,5.88%,23.53%,2.94%
IHME,3/29/2021,3 wk ahead inc death,4/17/2021,2805,0.163,17.72%,17.72%,75%,18,54.05%,51,8.93,4403.63,99.69,24.57%,15.42%,45.29%,14.91%,33.33%,7.84%,208.86,39.25%,33.07%,43.86%,12,52.94%,51,56.86%,0.196,1.574,1.702,1.833,2.327,2.079,3.273,3.92%,0.00%,60307,252.4,63.87%,100.00%,55.70%,5,88.24%,59.86%,14,61.76%,16923,77.2,13.15,64.04,52.94%,67.65%,79.41%,38.24%,58.82%,61.77%,67.65%,76.47%,79.41%,38.24%
ISU,3/29/2021,3 wk ahead inc death,4/17/2021,-2081,-0.141,-13.14%,-15.13%,75%,13,67.57%,49,7.86,1393.57,77.65,23.92%,-6.40%,41.47%,-12.32%,44.90%,8.16%,119.12,29.25%,30.22%,50.65%,9,79.41%,49,69.39%,0.388,1.833,1.993,2.297,4.922,3.75,5.4,14.29%,2.04%,45281,139.8,49.07%,100.00%,55.70%,5,88.24%,63.04%,17,52.94%,12622,60.09,12.43,47.67,79.41%,85.29%,88.24%,97.06%,67.65%,97.06%,94.12%,85.29%,85.29%,79.41%
JHU-APL,3/29/2021,3 wk ahead inc death,4/17/2021,6438,0.341,40.66%,40.66%,0%,31,18.92%,51,22.94,90840.5,170.76,23.90%,4.02%,102.99%,61.34%,45.10%,19.61%,504.87,92.53%,37.74%,27.56%,18,11.77%,51,84.31%,0.529,2.957,3.333,4.037,19.557,6.445,80,33.33%,17.65%,87715,475.2,23.80%,49.70%,53.70%,7,82.35%,63.45%,11,70.59%,29963,128.02,39.84,88.17,11.76%,11.77%,29.41%,0.00%,70.59%,0.00%,2.94%,47.06%,17.65%,85.29%
JHU-CSSE,3/29/2021,3 wk ahead inc death,4/17/2021,339,0.021,2.14%,2.14%,100%,1,100.00%,51,7.88,1697.1,78.57,20.70%,5.88%,40.74%,10.16%,41.18%,11.77%,135.87,34.76%,30.29%,61.61%,3,97.06%,51,96.08%,0.451,2.389,3.436,4.727,5.62,6.457,9.095,50.98%,9.80%,24872,113.9,33.44%,69.82%,47.50%,9,76.47%,90.89%,3,94.12%,11772,48.13,21.36,26.78,97.06%,82.35%,85.29%,88.24%,88.24%,88.24%,82.35%,82.35%,88.24%,73.53%
JHU-IDD,3/29/2021,3 wk ahead inc death,4/17/2021,-1249,-0.082,-7.89%,-8.56%,90%,8,81.08%,48,10.56,1767.1,82.46,32.49%,12.78%,52.97%,17.69%,35.42%,12.50%,142.03,47.02%,37.35%,25.92%,19,88.24%,48,97.92%,0.5,3.049,3.797,5.798,21.617,11.731,26.288,64.58%,29.17%,25126,156.8,21.20%,44.27%,33.00%,14,61.76%,53.94%,21,41.18%,12135,51.94,24.53,27.41,88.24%,76.47%,70.59%,85.29%,20.59%,82.35%,41.18%,52.94%,64.71%,50.00%
Karlen,3/29/2021,3 wk ahead inc death,4/17/2021,1473,0.089,9.30%,9.30%,90%,9,78.38%,51,9.79,3227.37,109.27,24.56%,17.60%,47.31%,22.96%,37.26%,15.69%,226.93,42.80%,34.02%,41.52%,14,50.00%,51,92.16%,0.51,2.545,3.318,5.31,12.161,7.776,17.25,60.78%,17.65%,67474,158.5,26.94%,56.25%,33.00%,14,61.76%,77.87%,8,79.41%,17001,81.76,27.29,54.47,50.00%,47.06%,73.53%,55.88%,61.77%,47.06%,58.82%,73.53%,70.59%,61.77%
LANL,3/29/2021,3 wk ahead inc death,4/17/2021,-597,-0.038,-3.77%,-3.92%,100%,3,94.60%,51,15.59,2674.84,89.14,27.50%,-1.99%,64.98%,-18.13%,33.33%,17.65%,149.14,39.96%,39.03%,42.29%,13,76.47%,51,92.16%,0.471,3.231,4.086,7.75,44.636,12.771,30.041,66.67%,35.29%,39276,148.9,18.03%,37.63%,26.80%,18,50.00%,58.11%,15,58.82%,14356,61.33,22.56,38.77,76.47%,73.53%,50.00%,70.59%,44.12%,76.47%,64.71%,41.18%,41.18%,38.24%
LNQ,3/29/2021,3 wk ahead inc death,4/17/2021,2516,0.147,15.89%,15.89%,75%,15,62.16%,51,15.67,1799.1,72.86,22.38%,-8.73%,63.06%,-40.78%,49.02%,17.65%,141.7,31.34%,36.38%,49.80%,10,70.59%,51,100.00%,0.765,14.902,26.502,111,248.419,324,624,100.00%,98.04%,48730,236.3,1.87%,3.90%,0.00%,33,5.88%,7.64%,29,17.65%,15987,66.3,48.96,17.34,70.59%,91.18%,47.06%,82.35%,79.41%,85.29%,88.24%,58.82%,44.12%,94.12%
LSHTM,3/29/2021,3 wk ahead inc death,4/17/2021,4282,0.239,27.04%,27.04%,75%,24,37.84%,51,14.76,3459.08,101.98,26.10%,15.06%,60.63%,6.73%,45.10%,21.57%,186.38,44.33%,38.35%,35.20%,15,64.71%,51,86.28%,0.471,2.909,3.785,5.952,11.107,9.781,26.111,54.90%,17.65%,42449,178.5,24.94%,52.06%,33.00%,14,61.76%,67.84%,10,73.53%,17448,71.41,31.06,40.35,64.71%,64.71%,52.94%,52.94%,52.94%,67.65%,47.06%,44.12%,47.06%,85.29%
Microsoft,3/29/2021,3 wk ahead inc death,4/17/2021,1786,0.107,11.28%,11.28%,75%,11,72.97%,51,6.99,1822.25,63.55,19.81%,15.64%,38.08%,19.24%,39.22%,5.88%,113.47,34.81%,28.98%,60.80%,4,94.12%,51,86.28%,0.471,1.962,2.209,2.863,4.001,3.757,4.559,9.80%,3.92%,35562,138.9,46.94%,97.99%,80.50%,2,97.06%,90.78%,4,91.18%,10902,48.28,17.99,30.3,94.12%,100.00%,94.12%,79.41%,94.12%,100.00%,79.41%,97.06%,97.06%,67.65%
MIT-CovAlliance,3/29/2021,3 wk ahead inc death,4/17/2021,5084,0.278,32.11%,32.11%,0%,27,29.73%,51,24.96,5714.32,126.51,29.04%,28.56%,53.95%,37.31%,35.29%,15.69%,210.72,52.26%,40.54%,13.01%,26,41.18%,51,98.04%,0.49,10.698,10.759,10.941,11.291,11.525,12.857,98.04%,98.04%,61002,246,16.66%,34.79%,0.00%,33,5.88%,57.48%,16,55.88%,21792,92.32,57.99,34.33,41.18%,35.29%,17.65%,29.41%,38.24%,58.82%,20.59%,35.29%,58.82%,47.06%
MIT-ISOLAT,3/29/2021,3 wk ahead inc death,4/17/2021,-4099,-0.3,-25.89%,-34.93%,0%,29,24.32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-LCP,3/29/2021,3 wk ahead inc death,4/17/2021,5633,0.304,35.58%,35.58%,0%,30,21.62%,51,81.26,39526.95,158.73,37.56%,43.12%,139.49%,130.70%,19.61%,25.49%,351.26,139.43%,58.44%,1.88%,33,0.00%,51,5.88%,0.02,1.016,1.018,1.019,1.01,1.024,1.057,0.00%,0.00%,318001,2821.5,98.54%,100.00%,6.20%,28,20.59%,6.19%,30,14.71%,32377,225.57,0.66,224.91,0.00%,17.65%,0.00%,2.94%,11.77%,11.77%,0.00%,2.94%,2.94%,8.82%
